GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018,
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018,
0500000US48219,48219,"Hockley County, Texas",22935,22927,22852,22929,23075,23414,23469,23317,23048,22995,22980,REP
0500000US48221,48221,"Hood County, Texas",51182,51163,51268,51558,52129,52866,53820,55290,56703,58154,60537,REP
0500000US48223,48223,"Hopkins County, Texas",35161,35161,35206,35253,35310,35303,35696,35990,36212,36493,36810,REP
0500000US48225,48225,"Houston County, Texas",23732,23731,23681,23428,23209,22809,22815,22758,22915,23116,23169,REP
0500000US48227,48227,"Howard County, Texas",35012,35012,34992,35016,35531,36218,36602,37282,36792,36198,36459,REP
0500000US48229,48229,"Hudspeth County, Texas",3476,3476,3472,3412,3358,3341,3308,3539,4246,4600,4795,REP
0500000US48231,48231,"Hunt County, Texas",86129,86162,86384,86701,87001,87465,88679,89719,91943,93927,96493,REP
0500000US48233,48233,"Hutchinson County, Texas",22150,22249,22212,22021,22021,21924,21921,21810,21562,21362,21198,REP
0500000US48235,48235,"Irion County, Texas",1599,1597,1607,1592,1573,1610,1574,1543,1562,1511,1522,REP
0500000US48237,48237,"Jack County, Texas",9044,9044,9007,9032,8995,8954,8885,8883,8779,8821,8843,REP
0500000US48239,48239,"Jackson County, Texas",14075,14075,14091,14048,14273,14612,14726,14810,14874,14818,14874,REP
0500000US48241,48241,"Jasper County, Texas",35710,35710,35775,36199,35851,35615,35421,35260,35416,35550,35872,REP
0500000US48243,48243,"Jeff Davis County, Texas",2342,2342,2344,2282,2296,2231,2217,2199,2232,2271,2252,REP
0500000US48245,48245,"Jefferson County, Texas",252273,252277,252463,253456,251604,253111,252915,255232,256311,256591,255001,REP
0500000US48247,48247,"Jim Hogg County, Texas",5300,5300,5288,5291,5280,5268,5334,5307,5275,5245,5248,DEM
0500000US48249,48249,"Jim Wells County, Texas",40838,40836,40885,41211,41644,41679,41503,41526,41181,40930,40822,DEM
0500000US48251,48251,"Johnson County, Texas",150934,150940,151248,152071,153405,154539,156754,159368,162793,167101,171361,REP
0500000US48253,48253,"Jones County, Texas",20202,20192,20237,20266,19870,20034,19846,19972,19969,19852,19817,REP
0500000US48255,48255,"Karnes County, Texas",14824,14828,14889,14955,14860,14728,14913,15400,15456,15516,15650,REP
